time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
469	2.110000e+00	3.303280e+02	1.810860e+01	0	0
2422	2.110000e+00	3.502029e+02	8.096470e+01	0	0
4375	2.110000e+00	3.633436e+02	3.244645e+01	0	0
6328	2.110000e+00	3.873616e+02	1.974374e+00	0	0
8281	2.110000e+00	4.067860e+02	-1.398316e+01	0	0
10234	2.110000e+00	4.176180e+02	-8.519918e+01	0	0
12188	2.110000e+00	4.141539e+02	-6.820090e+01	0	0
14141	2.110000e+00	4.290206e+02	-3.024776e+01	0	0
16094	2.110000e+00	4.341688e+02	3.686549e+00	0	0
18047	2.110000e+00	4.394717e+02	-2.650685e+00	0	0
20000	2.110000e+00	4.466258e+02	7.589069e+00	0	0
21953	2.110000e+00	4.589906e+02	6.443348e+01	0	0
23906	2.110000e+00	4.833844e+02	6.654908e+01	0	0
25859	2.110000e+00	4.850680e+02	-9.358786e+00	0	0
27813	2.110000e+00	5.053734e+02	6.573007e+00	0	0
29766	2.110000e+00	5.067841e+02	-2.078402e+01	0	0
31719	2.110000e+00	4.909841e+02	-8.111845e+01	0	0
33672	2.110000e+00	4.892320e+02	-2.001012e+01	0	0
35625	2.110000e+00	4.892988e+02	-5.406380e-01	0	0
37578	2.110000e+00	4.770329e+02	-1.879947e+00	0	0
39531	2.110000e+00	4.609794e+02	-1.411840e+00	0	0
41484	2.110000e+00	4.385997e+02	3.567543e+01	0	0
43438	2.110000e+00	4.333584e+02	6.611799e+01	0	0
45391	2.110000e+00	4.118089e+02	-1.006234e+01	0	0
47344	2.110000e+00	3.867708e+02	6.656241e+00	0	0
49297	2.110000e+00	3.561874e+02	-1.773673e+01	0	0
51250	2.110000e+00	3.316158e+02	-7.666459e+01	0	0
53203	2.110000e+00	3.102150e+02	-2.660581e+01	0	0
55156	2.110000e+00	2.698451e+02	-4.695748e+00	0	0
57109	2.110000e+00	2.469315e+02	1.517925e+00	0	0
59063	2.110000e+00	2.224736e+02	-4.609335e+00	0	0
61016	2.110000e+00	1.829785e+02	1.796958e+01	0	0
62969	2.110000e+00	1.617257e+02	7.331350e+01	0	0
64922	2.110000e+00	1.419549e+02	9.463837e+00	0	0
66875	2.110000e+00	1.218013e+02	3.852224e+00	0	0
68828	2.110000e+00	9.287432e+01	-1.622192e+01	0	0
70781	2.110000e+00	7.654954e+01	-8.036425e+01	0	0
72734	2.110000e+00	5.179559e+01	-4.717026e+01	0	0
74688	2.110000e+00	2.492565e+01	-1.813426e+01	0	0
76641	2.110000e+00	3.381710e+00	2.942108e+00	0	0
78594	2.110000e+00	-7.751736e+00	-4.543853e+00	0	0
80547	2.110000e+00	-2.091684e+01	1.630586e+01	0	0
82500	2.110000e+00	-2.820513e+01	8.217275e+01	0	0
84453	2.109759e+00	-3.059981e+01	3.726342e+01	0	0
86406	2.109241e+00	-3.649808e+01	1.046734e-01	0	0
88359	2.110000e+00	-4.459270e+01	-1.536370e+01	0	0
